gameid,url,league,year,date,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,total cs
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,5,Blue,sup,YellOwStaR,Fnatic,Thresh,Riven,Evelynn,Dr. Mundo,,,1785,1,0,0,16,9
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,6,Red,top,fredy122,SK Gaming,Renekton,Kassadin,Annie,Ziggs,,,1785,0,0,4,0,216
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,7,Red,jng,Svenskeren,SK Gaming,Shyvana,Kassadin,Annie,Ziggs,,,1785,0,0,5,1,150
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,8,Red,mid,Jesiz,SK Gaming,Ahri,Kassadin,Annie,Ziggs,,,1785,0,2,5,0,231
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,9,Red,bot,CandyPanda,SK Gaming,Sivir,Kassadin,Annie,Ziggs,,,1785,0,0,3,0,259
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,10,Red,sup,nRated,SK Gaming,Nunu & Willump,Kassadin,Annie,Ziggs,,,1785,0,0,6,0,11
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,100,Blue,team,,Fnatic,,Riven,Evelynn,Dr. Mundo,,,1785,1,23,2,50,
TRLH3/10096,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10096?gameHash=c7f078d7cc348080&amp;tab=overview,EU LCS,2014,1/15/2014 19:15,1,200,Red,team,,SK Gaming,,Kassadin,Annie,Ziggs,,,1785,0,2,23,1,
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,1,Blue,top,YoungBuck,Copenhagen Wolves,Renekton,Evelynn,Riven,Dr. Mundo,,,3332,0,3,4,6,321
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,2,Blue,jng,Amazing,Copenhagen Wolves,Vi,Evelynn,Riven,Dr. Mundo,,,3332,0,2,3,6,150
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,3,Blue,mid,cowTard,Copenhagen Wolves,Ziggs,Evelynn,Riven,Dr. Mundo,,,3332,0,1,2,4,487
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,4,Blue,bot,FORG1VEN,Copenhagen Wolves,Lucian,Evelynn,Riven,Dr. Mundo,,,3332,0,6,3,5,503
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,5,Blue,sup,Unlimited,Copenhagen Wolves,Annie,Evelynn,Riven,Dr. Mundo,,,3332,0,0,5,8,41
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,6,Red,top,fredy122,SK Gaming,Shyvana,Kayle,Kassadin,Elise,,,3332,1,4,0,8,482
TRLH3/10113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/10113?gameHash=c3d09d3642989e1b&amp;tab=overview,EU LCS,2014,1/15/2014 21:13,1,7,Red,jng,Svenskeren,SK Gaming,Lee Sin,Kayle,Kassadin,Elise,,,3332,1,2,5,11,199
